empid,rank,discipline,phd,service,sex,salary
101,Prof,B,56,49,Male,186960
102,Prof,A,12,6,Male,93000
103,Prof,A,23,20,Male,110515
104,Prof,A,40,31,Male,131205
105,Prof,B,20,18,Male,104800
106,Prof,A,20,20,Male,122400
107,AssocProf,A,20,17,Male,81285
108,Prof,A,18,18,Male,
109,Prof,A,29,19,Male,94350
110,Prof,A,51,51,Male,57800
111,Prof,B,39,33,Male,128250
112,Prof,B,23,23,Male,134778
113,AsstProf,B,1,0,Male,88000
114,Prof,B,,33,Male,162200
115,Prof,B,25,19,Male,153750
116,Prof,B,17,3,Male,150480
117,AsstProf,B,8,3,Male,75044
118,AsstProf,B,4,0,Male,92000
119,Prof,A,19,7,Male,107300
120,Prof,A,29,27,Male,150500
121,AsstProf,B,4,4,Male,92000
122,Prof,A,33,30,Male,103106
123,AsstProf,A,4,2,Male,73000
124,AsstProf,A,2,0,Male,85000
125,Prof,A,30,23,Male,91100
126,Prof,B,35,31,Male,99418
127,Prof,A,38,19,Male,148750
128,Prof,A,45,43,Male,155865
129,AsstProf,B,7,2,Male,
130,Prof,B,21,20,Male,123683
131,AssocProf,B,9,7,Male,107008
132,Prof,B,22,21,Male,155750
133,Prof,A,27,19,Male,103275
134,Prof,B,18,18,Male,120000
135,AssocProf,B,,8,Male,119800
136,Prof,B,28,23,Male,126933
137,Prof,B,45,45,Male,146856
138,Prof,A,20,8,Male,102000
139,AsstProf,B,4,3,Male,91000
140,Prof,B,18,18,Female,129000
141,Prof,A,39,36,Female,137000
142,AssocProf,A,13,8,Female,74830
143,AsstProf,B,4,2,Female,80225
144,AsstProf,B,5,0,Female,77000
145,Prof,B,23,19,Female,151768
146,Prof,B,25,25,Female,140096
147,AsstProf,B,11,3,Female,74692
148,AssocProf,B,11,11,Female,103613
149,Prof,B,17,17,Female,111512
150,Prof,B,17,18,Female,122960
151,AsstProf,B,10,5,Female,97032
152,Prof,B,20,14,Female,127512
153,Prof,A,12,0,Female,105000
154,AsstProf,A,5,3,Female,73500
155,AssocProf,A,25,22,Female,62884
156,AsstProf,A,2,0,Female,72500
157,AssocProf,A,10,8,Female,77500
158,AsstProf,A,3,1,Female,72500
159,Prof,B,36,26,Female,144651
160,AssocProf,B,12,10,Female,103994
161,AsstProf,B,3,3,Female,92000
162,AssocProf,B,13,10,Female,103750
163,AssocProf,B,14,7,Female,109650
164,Prof,A,29,27,Female,91000
165,AssocProf,A,26,24,Female,73300
166,Prof,A,36,19,Female,117555
167,AsstProf,A,7,6,Female,63100
168,Prof,A,17,11,Female,90450
169,AsstProf,A,4,2,Female,77500
170,Prof,A,28,7,Female,116450
171,AsstProf,A,8,3,Female,78500
172,AssocProf,B,12,9,Female,71065
173,Prof,B,24,15,Female,161101
174,Prof,B,18,10,Female,105450
175,AssocProf,B,19,6,Female,104542
176,Prof,B,17,17,Female,124312
177,Prof,A,28,14,Female,109954
178,Prof,A,23,15,Female,109646